iter	Passed	Remaining
600	4909	3259
601	4921	3253
602	4927	3244
603	4941	3239
604	4948	3230
605	4956	3222
606	4973	3220
607	4985	3214
608	4995	3207
609	5001	3197
610	5008	3189
611	5019	3182
612	5026	3173
613	5031	3162
614	5036	3152
615	5043	3144
616	5050	3134
617	5057	3126
618	5065	3117
619	5070	3108
620	5080	3100
621	5086	3091
622	5092	3081
623	5099	3072
624	5108	3064
625	5114	3055
626	5120	3046
627	5126	3036
628	5134	3028
629	5141	3019
630	5147	3010
631	5153	3001
632	5159	2991
633	5164	2981
634	5171	2972
635	5175	2962
636	5183	2954
637	5190	2944
638	5197	2936
639	5204	2927
640	5212	2919
641	5220	2911
642	5227	2902
643	5232	2892
644	5239	2883
645	5246	2875
646	5254	2866
647	5261	2857
648	5270	2850
649	5276	2841
650	5284	2832
651	5290	2823
652	5296	2814
653	5301	2804
654	5308	2796
655	5314	2786
656	5321	2778
657	5328	2769
658	5336	2761
659	5341	2751
660	5348	2743
661	5354	2733
662	5363	2726
663	5369	2716
664	5377	2708
665	5383	2699
666	5388	2690
667	5395	2681
668	5401	2672
669	5409	2664
670	5415	2655
671	5423	2647
672	5429	2638
673	5438	2630
674	5453	2625
675	5458	2616
676	5466	2608
677	5473	2599
678	5480	2591
679	5487	2582
680	5493	2573
681	5499	2564
682	5505	2555
683	5511	2546
684	5518	2537
685	5526	2529
686	5532	2520
687	5539	2511
688	5547	2503
689	5556	2496
690	5563	2487
691	5569	2478
692	5573	2469
693	5579	2460
694	5588	2452
695	5595	2443
696	5601	2434
697	5608	2426
698	5615	2418
699	5622	2409
700	5628	2400
701	5635	2392
702	5643	2384
703	5655	2377
704	5662	2369
705	5668	2360
706	5674	2351
707	5680	2342
708	5685	2333
709	5694	2325
710	5701	2317
711	5710	2309
712	5716	2301
713	5725	2293
714	5732	2284
715	5738	2276
716	5745	2267
717	5750	2258
718	5757	2250
719	5762	2241
720	5771	2233
721	5779	2225
722	5789	2218
723	5794	2208
724	5800	2200
725	5807	2191
726	5816	2184
727	5824	2176
728	5832	2168
729	5851	2164
730	5860	2156
731	5866	2147
732	5872	2139
733	5882	2131
734	5888	2123
735	5898	2115
736	5907	2108
737	5915	2099
738	5931	2094
739	5939	2086
740	5951	2080
741	5957	2071
742	5971	2065
743	5978	2057
744	5989	2050
745	6002	2043
746	6009	2035
747	6020	2028
748	6028	2020
749	6038	2012
750	6043	2003
751	6051	1995
752	6058	1987
753	6067	1979
754	6072	1970
755	6080	1962
756	6086	1953
757	6101	1948
758	6112	1940
759	6128	1935
760	6136	1927
761	6146	1919
762	6154	1911
763	6160	1903
764	6177	1897
765	6182	1888
766	6187	1879
767	6193	1870
768	6197	1861
769	6203	1852
770	6209	1844
771	6217	1836
772	6227	1828
773	6236	1821
774	6245	1813
775	6250	1804
776	6257	1796
777	6266	1788
778	6274	1780
779	6282	1772
780	6289	1763
781	6295	1755
782	6300	1746
783	6307	1737
784	6314	1729
785	6322	1721
786	6330	1713
787	6336	1704
788	6343	1696
789	6348	1687
790	6356	1679
791	6362	1670
792	6371	1663
793	6379	1655
794	6386	1646
795	6394	1638
796	6402	1630
797	6410	1622
798	6415	1614
799	6422	1605
800	6431	1597
801	6438	1589
802	6445	1581
803	6452	1573
804	6463	1565
805	6470	1557
806	6477	1549
807	6482	1540
808	6491	1532
809	6497	1524
810	6503	1515
811	6510	1507
812	6518	1499
813	6528	1491
814	6534	1483
815	6541	1475
816	6549	1467
817	6555	1458
818	6560	1449
819	6568	1441
820	6576	1433
821	6583	1425
822	6588	1417
823	6596	1408
824	6603	1400
825	6611	1392
826	6616	1384
827	6625	1376
828	6634	1368
829	6640	1360
830	6648	1352
831	6656	1344
832	6664	1336
833	6671	1327
834	6679	1319
835	6687	1311
836	6694	1303
837	6702	1295
838	6711	1287
839	6719	1279
840	6726	1271
841	6734	1263
842	6742	1255
843	6752	1248
844	6758	1239
845	6765	1231
846	6773	1223
847	6780	1215
848	6785	1206
849	6792	1198
850	6800	1190
851	6809	1182
852	6813	1174
853	6820	1166
